page,line,n,pairs,equal,entropy_bits,ioc,frequencies
8,7,23,22,2,4.088779347361361,0.019762845849802372,"[0, 0, 0, 1, 0, 2, 1, 1, 0, 2, 1, 2, 0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 0, 0, 0, 0, 0, 1]"
8,8,22,21,0,3.823067982273661,0.03896103896103896,"[1, 1, 1, 1, 1, 1, 0, 0, 2, 1, 0, 0, 0, 4, 1, 0, 2, 0, 1, 0, 1, 2, 0, 0, 1, 0, 0, 0, 1]"
8,9,24,23,0,3.8512274809529554,0.04710144927536232,"[5, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 1, 1, 1, 2, 0, 1, 2, 1, 0, 0]"
8,10,24,23,0,3.8035088547976783,0.036231884057971016,"[0, 2, 1, 2, 0, 0, 0, 1, 0, 2, 0, 1, 1, 0, 0, 2, 0, 2, 0, 2, 3, 1, 2, 0, 1, 1, 0, 0, 0]"
8,11,24,23,0,3.918295834054489,0.036231884057971016,"[1, 0, 1, 2, 1, 0, 0, 0, 1, 4, 1, 0, 1, 2, 0, 1, 1, 1, 0, 0, 0, 0, 2, 2, 0, 0, 1, 1, 1]"
9,0,21,20,0,4.011365041826379,0.01904761904761905,"[0, 1, 0, 0, 0, 0, 1, 2, 0, 1, 1, 1, 0, 2, 1, 0, 0, 0, 1, 2, 0, 1, 1, 1, 2, 1, 1, 1, 0]"
9,1,21,20,0,3.594465636961452,0.04285714285714286,"[2, 0, 2, 2, 0, 0, 1, 0, 1, 0, 0, 1, 0, 2, 3, 1, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 2, 0]"
9,2,23,22,1,3.5555331514269954,0.05138339920948617,"[2, 1, 3, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 1, 0, 2, 0, 0, 1, 3, 0, 1]"
9,3,21,20,0,4.011365041826379,0.01904761904761905,"[0, 0, 0, 0, 1, 2, 0, 0, 2, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 2, 0, 1, 2, 1, 1]"
9,4,22,21,0,3.913977073182752,0.025974025974025976,"[1, 0, 1, 0, 0, 2, 1, 1, 0, 1, 2, 0, 1, 1, 0, 0, 0, 1, 0, 2, 0, 2, 0, 1, 0, 1, 0, 2, 2]"
9,5,21,20,1,3.880179922675738,0.02857142857142857,"[0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 2, 0, 1, 2, 0, 0, 0, 2, 0, 1, 1, 0, 0, 1, 1, 3, 1, 1]"
9,6,22,21,0,4.095795255000934,0.017316017316017316,"[2, 0, 1, 2, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 1, 2, 0, 1, 0, 1, 0]"
9,7,24,23,0,3.8868421881310113,0.03260869565217391,"[0, 0, 0, 1, 0, 1, 2, 0, 1, 1, 2, 3, 1, 2, 0, 0, 0, 0, 1, 1, 2, 0, 1, 0, 0, 2, 1, 2, 0]"
9,8,22,21,0,3.788754913993503,0.03463203463203463,"[1, 1, 0, 0, 1, 1, 1, 2, 0, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 1, 2, 0, 2]"
9,9,25,24,1,3.893660689688186,0.03333333333333333,"[1, 0, 2, 1, 1, 0, 2, 2, 0, 2, 0, 0, 1, 0, 0, 2, 1, 2, 0, 0, 1, 0, 1, 1, 2, 0, 0, 3, 0]"
9,10,23,22,0,4.0559581516151235,0.023715415019762844,"[1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 2, 0, 3, 0, 0, 1, 1, 0, 2, 1, 1, 2, 0, 1, 0, 1]"
9,11,23,22,0,4.088779347361361,0.019762845849802372,"[1, 1, 2, 1, 1, 0, 2, 2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1]"
10,0,20,19,0,3.684183719779189,0.03684210526315789,"[0, 2, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 2, 3, 2, 1, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1]"
10,1,23,22,0,4.1429146733542535,0.019762845849802372,"[1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 2, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 3, 2, 1, 0, 1, 1, 0]"
10,2,20,19,0,3.584183719779189,0.042105263157894736,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 1, 1, 1, 0, 1, 2, 3, 0, 0, 2, 2, 0, 0, 0, 0, 2]"
10,3,21,20,0,3.880179922675738,0.02857142857142857,"[1, 0, 0, 1, 0, 0, 3, 1, 2, 1, 1, 1, 0, 0, 2, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 1, 1, 1]"
10,4,22,21,0,3.720128777433188,0.04329004329004329,"[0, 3, 1, 1, 3, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 3, 0, 0]"
10,5,21,20,0,4.011365041826379,0.01904761904761905,"[0, 2, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 2, 0, 1, 2, 0, 1, 0, 1, 1, 1, 2, 0, 1, 0, 1, 1]"
